ts,name,x,y,z
36296.8,right_thumb,0.696278,0.977486,-0.082025
36296.8,right_index,0.692994,0.936830,-0.128035
36313.5,right_thumb,0.699161,0.976247,-0.087675
36313.5,right_index,0.696495,0.939697,-0.140317
36313.5,right_middle,0.745620,0.950398,-0.133651
36313.5,right_ring,0.797266,0.950335,-0.131156
36313.5,right_pinky,0.880861,0.966879,-0.135208
36330.2,right_thumb,0.699241,0.973849,-0.091110
36330.2,right_index,0.698322,0.933312,-0.145765
36363.4,right_thumb,0.697445,0.962167,-0.102085
36363.4,right_index,0.697993,0.899225,-0.158949
36363.4,right_middle,0.749040,0.904594,-0.153718
36363.4,right_ring,0.808575,0.921617,-0.148185
36363.4,right_pinky,0.888853,0.951776,-0.150705
36388.3,right_thumb,0.695925,0.949862,-0.105272
36388.3,right_index,0.698231,0.864779,-0.163131
36388.3,right_middle,0.749779,0.862098,-0.157608
36388.3,right_ring,0.812839,0.888577,-0.151874
36388.3,right_pinky,0.894278,0.929685,-0.154307
36388.3,left_thumb,0.425953,0.883084,-0.066328
36388.3,left_index,0.431101,0.784546,-0.100181
36388.3,left_middle,0.398113,0.784558,-0.103699
36413.5,right_thumb,0.691584,0.917581,-0.102410
36413.5,right_index,0.695952,0.800312,-0.155815
36413.5,right_middle,0.746759,0.786109,-0.150833
36413.5,right_ring,0.809360,0.813840,-0.146065
36413.5,right_pinky,0.892692,0.860572,-0.148597
36413.5,left_thumb,0.426326,0.878836,-0.065606
36413.5,left_index,0.432031,0.777876,-0.097440
36413.5,left_middle,0.399436,0.776786,-0.101205
36413.5,left_ring,0.358153,0.762449,-0.107230
36413.5,left_pinky,0.260884,0.771063,-0.120063
36430.1,right_thumb,0.686120,0.879489,-0.099732
36430.1,right_index,0.692684,0.740560,-0.151865
36430.1,right_middle,0.743589,0.712038,-0.146436
36430.1,right_ring,0.806672,0.732009,-0.142398
36430.1,right_pinky,0.890399,0.781661,-0.145329
36430.1,left_thumb,0.426515,0.865133,-0.063699
36430.1,left_index,0.432268,0.757071,-0.093443
36430.1,left_middle,0.399773,0.746580,-0.097151
36430.1,left_ring,0.358591,0.729798,-0.103967
36430.1,left_pinky,0.261508,0.742260,-0.115856
36455.1,right_thumb,0.677575,0.830363,-0.097178
36455.1,right_index,0.686139,0.679139,-0.146182
36455.1,right_middle,0.736087,0.635295,-0.142131
36455.1,right_ring,0.800397,0.645946,-0.138692
36455.1,right_pinky,0.886936,0.694995,-0.141351
36455.1,left_thumb,0.426956,0.839390,-0.060765
36455.1,left_index,0.433263,0.717213,-0.086873
36455.1,left_middle,0.400983,0.700348,-0.090630
36455.1,left_ring,0.359263,0.676785,-0.098627
36455.1,left_pinky,0.261962,0.693370,-0.109304
36471.6,right_thumb,0.669422,0.789019,-0.095011
36471.6,right_index,0.678691,0.627676,-0.138542
36471.6,right_middle,0.728598,0.572827,-0.135837
36471.6,right_ring,0.793225,0.576747,-0.133442
36471.6,right_pinky,0.882802,0.626326,-0.136078
36471.6,left_thumb,0.427120,0.810025,-0.059086
36471.6,left_index,0.434353,0.679452,-0.083192
36471.6,left_middle,0.402156,0.650988,-0.086172
36471.6,left_ring,0.359509,0.624099,-0.094485
36471.6,left_pinky,0.262615,0.641234,-0.104186
36488.5,right_thumb,0.658251,0.740443,-0.091045
36488.5,right_index,0.668127,0.570697,-0.127134
36488.5,right_middle,0.719244,0.505279,-0.126468
36488.5,right_ring,0.783444,0.501556,-0.126667
36488.5,right_pinky,0.876424,0.553136,-0.129599
36488.5,left_thumb,0.427176,0.769156,-0.056310
36488.5,left_index,0.434905,0.629244,-0.078228
36488.5,left_middle,0.403291,0.588065,-0.080947
36488.5,left_ring,0.359727,0.561083,-0.090370
36488.5,left_pinky,0.262929,0.580702,-0.099330
36513.5,right_thumb,0.644368,0.694685,-0.083689
36513.5,right_index,0.654622,0.520906,-0.111007
36513.5,right_middle,0.705835,0.449023,-0.113571
36513.5,right_ring,0.768741,0.440762,-0.117538
36513.5,right_pinky,0.865521,0.491095,-0.121397
36513.5,left_thumb,0.427487,0.724461,-0.053181
36513.5,left_index,0.435980,0.580492,-0.072729
36513.5,left_middle,0.404625,0.527336,-0.074674
36513.5,left_ring,0.360006,0.500571,-0.085316
36513.5,left_pinky,0.264082,0.521253,-0.093581
36530.1,right_thumb,0.634208,0.661736,-0.080210
36530.1,right_index,0.644875,0.484674,-0.101657
36530.1,right_middle,0.696598,0.408270,-0.105178
36530.1,right_ring,0.759069,0.399059,-0.110983
36530.1,right_pinky,0.858022,0.445661,-0.115307
36530.1,left_thumb,0.427655,0.692657,-0.051215
36530.1,left_index,0.436319,0.542669,-0.068712
36530.1,left_middle,0.405244,0.482181,-0.069835
36530.1,left_ring,0.360067,0.458007,-0.081113
36530.1,left_pinky,0.264304,0.480723,-0.088951
36546.8,right_thumb,0.625561,0.638316,-0.075662
36546.8,right_index,0.636088,0.459547,-0.092968
36546.8,right_middle,0.687946,0.380382,-0.097703
36546.8,right_ring,0.750061,0.370860,-0.105318
36546.8,right_pinky,0.850261,0.415940,-0.110332
36546.8,left_thumb,0.427832,0.669752,-0.048980
36546.8,left_index,0.436700,0.516971,-0.064864
36546.8,left_middle,0.405712,0.451147,-0.065438
36546.8,left_ring,0.360002,0.428092,-0.077283
36546.8,left_pinky,0.264682,0.451514,-0.084635
36571.8,right_thumb,0.613862,0.609010,-0.070057
36571.8,right_index,0.624951,0.428028,-0.083133
36571.8,right_middle,0.676074,0.345537,-0.089477
36571.8,right_ring,0.737424,0.333561,-0.099582
36571.8,right_pinky,0.840745,0.375473,-0.105478
36571.8,left_thumb,0.427831,0.641762,-0.045163
36571.8,left_index,0.436630,0.481411,-0.058399
36571.8,left_middle,0.405634,0.410565,-0.058862
36571.8,left_ring,0.359468,0.390580,-0.071841
36571.8,left_pinky,0.264294,0.416415,-0.078500
36588.4,right_thumb,0.606745,0.588715,-0.065773
36588.4,right_index,0.617645,0.408364,-0.076163
36588.4,right_middle,0.668864,0.323646,-0.083401
36588.4,right_ring,0.729491,0.310803,-0.095437
36588.4,right_pinky,0.835038,0.351927,-0.102195
36588.4,left_thumb,0.427678,0.627204,-0.042709
36588.4,left_index,0.436252,0.463240,-0.054536
36588.4,left_middle,0.405365,0.388535,-0.055033
36588.4,left_ring,0.358966,0.368203,-0.068791
36588.4,left_pinky,0.263607,0.395338,-0.074921
36613.4,right_thumb,0.598649,0.570489,-0.060416
36613.4,right_index,0.609852,0.389973,-0.069895
36613.4,right_middle,0.660857,0.304147,-0.077983
36613.4,right_ring,0.721083,0.292257,-0.091255
36613.4,right_pinky,0.827647,0.332147,-0.098510
36613.4,left_thumb,0.427584,0.614017,-0.040082
36613.4,left_index,0.435890,0.446647,-0.050947
36613.4,left_middle,0.404900,0.370195,-0.051141
36613.4,left_ring,0.357957,0.349129,-0.065145
36613.4,left_pinky,0.262706,0.376815,-0.070534
36630.1,right_thumb,0.593969,0.559176,-0.056516
36630.1,right_index,0.605464,0.379531,-0.065032
36630.1,right_middle,0.656469,0.292420,-0.073464
36630.1,right_ring,0.716491,0.280250,-0.087873
36630.1,right_pinky,0.823833,0.319522,-0.095616
36630.1,left_thumb,0.427293,0.605778,-0.038321
36630.1,left_index,0.435369,0.436523,-0.048254
36630.1,left_middle,0.404408,0.358607,-0.048649
36630.1,left_ring,0.357081,0.338100,-0.063120
36630.1,left_pinky,0.261795,0.365963,-0.068253
36655,right_thumb,0.588711,0.548892,-0.053032
36655,right_index,0.600846,0.369305,-0.061396
36655,right_middle,0.651661,0.282411,-0.070058
36655,right_ring,0.711117,0.270061,-0.085180
36655,right_pinky,0.819350,0.308983,-0.093363
36655,left_thumb,0.427017,0.598707,-0.036626
36655,left_index,0.434726,0.428248,-0.045659
36655,left_middle,0.403666,0.347854,-0.045873
36655,left_ring,0.355373,0.327032,-0.060297
36655,left_pinky,0.260030,0.355404,-0.064780
36671.3,right_thumb,0.586226,0.543312,-0.050361
36671.3,right_index,0.598953,0.364802,-0.058427
36671.3,right_middle,0.650162,0.277205,-0.067028
36671.3,right_ring,0.708956,0.264391,-0.082795
36671.3,right_pinky,0.817714,0.302202,-0.091212
36671.3,left_thumb,0.426864,0.596091,-0.035758
36671.3,left_index,0.434410,0.421549,-0.044512
36671.3,left_middle,0.403271,0.339369,-0.044709
36671.3,left_ring,0.354198,0.319056,-0.059368
